MAG_ID	Sample	Completeness	Contamination	Abundance	Taxonomy
CL02	B25	99.06	0.28	 33.1	Lactobacillus_G brevis
CL03	B25	99.38	0.00	 59.0	Pediococcus damnosus
CL04	B25	1.36	0.00	  0.9	-
CL05	B25	4.87	0.00	  1.1	-
CL1	B27	98.38	0.87	100.0	Lactobacillus acetotolerans
CL01	B32	26.10	3.47	  2.7	-
CL02	B32	18.93	0.93	  2.6	-
CL03	B32	98.38	0.87	  8.3	Lactobacillus acetotolerans
CL04	B32	6.39	0.00	  2.7	-
CL05	B32	7.63	0.00	  2.6	-
CL06	B32	5.03	0.00	  2.5	-
CL07	B32	7.94	0.00	  2.5	-
CL08	B32	0.00	0.00	  2.7	-
CL09	B32	2.90	0.16	  2.7	-
CL10	B32	0.16	0.00	  2.6	-
CL11	B32	3.79	1.72	  2.9	-
CL12	B32	2.04	0.00	  2.1	-
CL13	B32	0.93	0.00	  2.7	-
CL14	B32	4.17	0.00	  2.5	-
CL15	B32	0.00	0.00	  1.9	-
CL16	B32	0.43	0.00	  2.4	-
CL17	B32	0.97	0.00	  2.4	-
CL18	B32	0.00	0.00	  2.6	-
CL19	B32	1.01	0.00	  2.7	-
CL20	B32	0.00	0.00	  2.7	-
CL21	B32	0.00	0.00	  2.9	-
CL22	B32	0.00	0.00	  2.2	-
CL23	B32	0.00	0.00	  2.5	-
CL24	B32	4.17	0.00	  2.7	-
CL25	B32	0.00	0.00	  2.7	-
CL26	B32	0.00	0.00	  2.6	-
CL27	B32	0.50	0.00	  2.8	-
CL28	B32	0.00	0.00	  2.8	-
CL29	B32	0.31	0.00	  2.7	-
CL30	B32	0.00	0.00	  2.6	-
CL31	B32	0.30	0.00	  2.4	-
CL32	B32	4.17	0.00	  2.5	-
CL33	B32	0.00	0.00	  2.7	-
CL34	B32	2.34	0.00	  2.3	-
CL35	B32	0.00	0.00	  2.4	-
CL36	B32	0.00	0.00	  2.6	-
CL37	B32	0.00	0.00	  1.8	-
CL001	C18	100.00	2.36	  1.7	Mesorhizobium sp004136315
CL002	C18	90.23	2.75	  0.5	Rhodococcus erythropolis
CL003	C18	98.26	0.00	  1.4	Phyllobacterium sp900539805
CL004	C18	91.19	3.47	  0.5	Agrobacterium pusense
CL005	C18	99.38	2.66	 17.2	Secundilactobacillus uncl.
CL006	C18	100.00	0.50	  7.2	Acetobacter ghanensis
CL007	C18	93.25	17.89	 68.5	Oenococcus sp004010835
CL008	C18	0.00	0.00	  1.8	-
CL009	C18	0.00	0.00	  1.1	-
CL001	C22	96.69	6.70	 29.4	Tatumella uncl.
CL002	C22	44.48	2.12	  0.4	Gluconacetobacter uncl.
CL003	C22	40.04	2.31	  8.8	Tatumella uncl.
CL004	C22	45.77	3.44	  0.7	Gluconobacter_A cerinus
CL005	C22	63.32	0.00	  0.4	Pediococcus damnosus
CL006	C22	17.40	0.00	  0.3	Pantoea agglomerans
CL007	C22	32.87	0.00	  1.2	Tatumella uncl.
CL008	C22	31.90	5.17	  1.2	Tatumella uncl.
CL009	C22	25.86	0.86	  7.9	Tatumella uncl.
CL010	C22	18.97	0.00	  0.9	Tatumella uncl.
CL011	C22	25.25	3.37	  1.6	Tatumella uncl.
CL012	C22	20.69	0.00	  1.3	Tatumella uncl.
CL013	C22	8.62	0.00	  0.4	Tatumella uncl.
CL014	C22	0.00	0.00	  1.0	Tatumella uncl.
CL015	C22	0.00	0.00	  6.2	-
CL016	C22	0.00	0.00	  0.5	-
CL017	C22	0.00	0.00	  0.7	-
CL018	C22	0.00	0.00	  0.3	-
CL019	C22	0.00	0.00	  0.6	-
CL020	C22	19.83	1.72	  0.3	Gluconacetobacter uncl.
CL021	C22	12.50	0.00	  6.4	-
CL022	C22	8.33	0.00	  0.7	-
CL023	C22	0.00	0.00	  0.4	-
CL024	C22	6.90	1.72	  0.3	-
CL025	C22	4.17	0.00	  0.9	-
CL026	C22	0.00	0.00	  0.3	-
CL027	C22	4.17	0.00	  0.8	-
CL028	C22	0.00	0.00	  0.3	-
CL029	C22	24.14	2.59	  0.6	Gluconobacter_A cerinus
CL030	C22	0.00	0.00	  0.7	-
CL031	C22	0.00	0.00	  0.2	-
CL032	C22	0.00	0.00	  0.3	-
CL033	C22	4.17	0.00	  0.4	-
CL034	C22	5.17	0.00	  0.3	-
CL035	C22	7.57	0.84	  0.7	Gluconobacter_A uncl.
CL036	C22	0.00	0.00	  5.3	-
CL037	C22	4.17	0.00	  0.3	-
CL038	C22	4.17	0.00	  1.1	-
CL039	C22	0.00	0.00	  8.8	-
CL040	C22	2.65	0.00	  2.1	-
CL041	C22	0.00	0.00	  0.5	-
CL042	C22	0.00	0.00	  0.3	-
CL043	C22	0.00	0.00	  0.4	-
CL044	C22	0.00	0.00	  0.2	-
CL045	C22	0.00	0.00	  2.3	-
CL046	C22	0.00	0.00	  1.1	-
CL047	C22	0.00	0.00	  0.3	-
CL001	C23	95.79	4.34	  3.4	Pseudomonas_E syringae
CL002	C23	93.46	7.53	  2.9	Pantoea agglomerans
CL003	C23	95.87	1.44	 59.2	Tatumella ptyseos
CL004	C23	34.48	1.72	  4.9	Tatumella uncl.
CL005	C23	98.40	0.53	  3.7	Oenococcus oeni
CL006	C23	0.00	0.00	  3.7	-
CL007	C23	8.33	0.00	  5.3	Tatumella uncl.
CL008	C23	5.04	0.14	  0.4	-
CL009	C23	0.00	0.00	  1.8	-
CL010	C23	0.00	0.00	  2.8	-
CL011	C23	0.00	0.00	  3.1	-
CL012	C23	0.00	0.00	  1.8	-
CL013	C23	0.00	0.00	  1.9	-
CL014	C23	5.17	0.00	  0.7	-
CL015	C23	0.00	0.00	  1.8	-
CL016	C23	3.45	0.00	  1.0	-
CL017	C23	4.17	0.00	  1.6	-
CL01	C30	0.00	0.00	100.0	-
CL01	C31	92.47	9.42	  0.3	Secundilactobacillus collinoides
CL02	C31	10.45	5.64	  1.2	-
CL03	C31	13.01	3.27	  1.1	-
CL04	C31	6.60	1.87	  1.1	-
CL05	C31	8.06	0.31	  1.6	-
CL06	C31	1.39	1.39	  1.1	-
CL07	C31	5.61	1.87	  1.1	-
CL08	C31	44.58	3.22	  0.5	Oenococcus oeni
CL09	C31	0.00	0.00	  1.4	-
CL10	C31	4.91	0.00	  1.8	-
CL11	C31	2.80	0.93	  1.1	-
CL12	C31	6.02	6.48	  1.1	-
CL13	C31	4.86	2.40	  1.1	-
CL14	C31	0.00	0.00	  1.1	-
CL15	C31	0.38	0.38	  1.2	-
CL16	C31	0.31	0.16	  1.0	-
CL17	C31	5.33	6.90	  1.3	-
CL18	C31	0.00	0.00	  1.5	-
CL19	C31	0.00	0.00	  2.8	-
CL20	C31	3.86	0.00	  1.0	-
CL21	C31	0.31	0.16	  1.6	-
CL22	C31	1.25	0.00	  1.4	-
CL23	C31	1.87	0.00	  1.0	-
CL24	C31	4.17	8.33	  1.0	-
CL25	C31	0.00	0.00	  1.1	-
CL26	C31	0.60	0.36	  1.4	-
CL27	C31	4.52	1.87	  1.6	-
CL28	C31	0.00	0.00	  1.6	-
CL29	C31	0.00	0.00	  1.1	-
CL30	C31	0.00	0.00	  1.0	-
CL31	C31	0.00	0.00	  1.0	-
CL32	C31	0.00	0.00	  1.3	-
CL33	C31	2.46	0.73	  1.1	-
CL34	C31	8.33	0.00	  0.3	Oenococcus sp004010835
CL35	C31	0.00	0.00	  1.4	-
CL36	C31	0.00	0.00	  1.8	-
CL37	C31	4.17	4.17	  1.3	-
CL38	C31	0.00	0.00	  1.2	-
CL39	C31	0.97	0.00	  1.2	-
CL40	C31	3.74	0.93	  1.0	-
CL41	C31	0.00	0.00	  1.2	-
CL42	C31	0.00	0.00	  0.9	-
CL43	C31	0.00	0.00	  1.4	-
CL44	C31	0.00	0.00	  1.2	-
CL45	C31	0.00	0.00	  2.6	-
CL46	C31	0.00	0.00	  1.1	-
CL47	C31	1.25	0.00	  1.1	-
CL48	C31	1.31	0.00	  1.3	-
CL49	C31	0.00	0.00	  2.2	-
CL50	C31	0.00	0.00	  1.7	-
CL51	C31	0.00	0.00	  1.0	-
CL52	C31	0.00	0.00	  1.1	-
CL53	C31	0.00	0.00	  1.0	-
CL54	C31	1.15	0.47	  1.4	-
CL55	C31	1.46	0.00	  1.2	-
CL56	C31	0.00	0.00	  1.8	-
CL57	C31	0.00	0.00	  0.9	-
CL58	C31	0.52	0.00	  1.4	-
CL59	C31	0.00	0.00	  1.4	-
CL60	C31	0.00	0.00	  1.0	-
CL61	C31	0.00	0.00	  0.9	-
CL62	C31	0.00	0.00	  1.7	-
CL63	C31	2.80	0.47	  1.0	-
CL64	C31	0.00	0.00	  1.4	-
CL65	C31	0.00	0.00	  1.0	-
CL66	C31	1.46	0.00	  1.7	-
CL67	C31	0.86	0.00	  1.0	-
CL68	C31	0.00	0.00	  1.6	-
CL69	C31	0.00	0.00	 12.7	-
CL70	C31	0.00	0.00	  1.3	-
CL001	C33	60.03	38.04	 10.0	-
CL002	C33	92.82	0.92	  6.7	Tatumella uncl.
CL003	C33	94.68	0.71	  9.0	Tatumella ptyseos
CL004	C33	18.20	0.33	  0.9	Tatumella uncl.
CL005	C33	3.94	0.00	  3.5	-
CL006	C33	0.00	0.00	  0.8	-
CL007	C33	1.04	0.00	  1.9	-
CL008	C33	4.17	0.00	  0.7	-
CL009	C33	0.00	0.00	  0.7	-
CL010	C33	5.02	0.00	 24.5	-
CL011	C33	0.16	0.00	  1.9	-
CL012	C33	0.16	0.00	  1.9	-
CL013	C33	0.00	0.00	 36.8	-
CL014	C33	0.00	0.00	  0.7	-
CL001	C34	54.21	2.38	  7.4	Tatumella uncl.
CL002	C34	14.63	2.80	  0.5	-
CL003	C34	12.50	0.00	  6.1	Tatumella uncl.
CL004	C34	0.83	0.00	 33.1	-
CL005	C34	0.00	0.00	  5.5	-
CL006	C34	5.02	0.25	 24.5	-
CL007	C34	4.17	0.00	  4.6	-
CL008	C34	0.00	0.00	  1.8	-
CL009	C34	0.00	0.00	  0.7	-
CL010	C34	1.87	0.00	  0.5	-
CL011	C34	0.17	0.00	  1.3	-
CL012	C34	0.16	0.00	  1.5	-
CL013	C34	0.00	0.00	  0.5	-
CL014	C34	0.00	0.00	  0.5	-
CL015	C34	1.08	0.00	  0.4	-
CL016	C34	0.00	0.00	  0.5	-
CL017	C34	0.00	0.00	  0.5	-
CL018	C34	0.00	0.00	  1.5	-
CL019	C34	0.00	0.00	  1.6	-
CL020	C34	2.16	0.00	  1.5	-
CL021	C34	0.00	0.00	  0.5	-
CL022	C34	0.00	0.00	  5.1	-
